	ggal_miRb21_bbmap_1	ggal_miRb21_bbmap_10	ggal_miRb21_bbmap_11	ggal_miRb21_bbmap_12	ggal_miRb21_bbmap_2	ggal_miRb21_bbmap_3	ggal_miRb21_bbmap_4	ggal_miRb21_bbmap_5	ggal_miRb21_bbmap_6	ggal_miRb21_bbmap_7	ggal_miRb21_bbmap_8	ggal_miRb21_bbmap_9
gga-miR-7474	0	0	0	0	1	1	0	0	1	0	0	0
gga-miR-130a	2994	1901	5931	7481	2841	4310	7818	7293	5566	1722	2955	4100
gga-miR-34c	260	5336	6137	592	37883	94	452	19421	193	6347	91	4387
gga-miR-6655	0	0	0	0	0	0	0	1	0	0	0	0
gga-miR-34b	100	3255	4785	471	12908	43	152	7624	56	4574	54	3139
gga-miR-1715	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-107	30	6	28	8	23	31	19	25	6	8	26	30
gga-miR-1627	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1798	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-30b	52981	14397	26455	20602	44812	48473	30378	25069	14437	13846	35887	22609
gga-miR-1661	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-34a	3269	3448	5657	4639	8382	7655	3878	4725	1463	2402	3205	3260
gga-miR-10b	0	1	0	1	0	0	1	0	0	0	0	0
gga-miR-7447	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-7467	0	0	1	4	1	4	0	0	0	0	1	0
gga-miR-6566	0	0	1	1	0	0	0	0	0	0	2	0
gga-miR-1577	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1748	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6576	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1750	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6614	0	1	0	0	0	0	0	1	0	0	0	0
gga-miR-6710	0	0	1	6	0	1	4	0	0	0	1	4
gga-miR-1620	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-3538	15	0	3	8	7	4	8	10	9	4	15	7
gga-miR-6551	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1668	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-6588	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1740	2	0	1	1	1	2	3	1	0	0	0	2
gga-miR-1462	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1719	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1816	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1731	2	1	1	6	2	3	4	5	2	0	5	1
gga-miR-6575	0	0	0	0	1	0	0	0	0	0	2	0
gga-miR-1555	0	0	2	8	3	0	2	6	3	0	1	2
gga-miR-1729	12	2	7	7	20	13	11	8	1	2	12	6
gga-miR-1715	0	0	0	0	0	0	0	0	0	0	0	0
gga-miR-1788	6	0	3	0	0	4	5	3	0	1	8	6
